"n","p1","maxc","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.1,0,0.95,0.999998,1,1,0.993228,2e-06,2e-06,-0.00677,0,0,4.7e-05,0,0,2e-06,"dir",2e-06,0,0
100,0.25,0.1,0,1,1,1,1,0.993291,0,0,-0.006709,0,0,4.5e-05,0,0,0,"dir",0,0,0
100,0.25,0.1,0.5,0,0,0,0.039827,0.017049,0,0.039827,0.017049,0,0.001594,0.000677,0,7e-06,0.000387,"dir",0,0,0
100,0.25,0.1,0.5,0.05,0.032774,0.03234,0.072167,0.066298,-0.000434,0.039393,0.033524,0.000268,0.001843,0.00304,0.000268,0.000291,0.00192,"dir",-0.000434,0.000268,0.000268
100,0.25,0.1,0.5,0.1,0.114265,0.11346,0.153287,0.144826,-0.000805,0.039022,0.030561,0.000918,0.002471,0.005018,0.000919,0.00095,0.004092,"dir",-0.000805,0.000918,0.000919
100,0.25,0.1,0.5,0.15,0.223516,0.22212,0.261947,0.239733,-0.001396,0.038432,0.016217,0.001717,0.003234,0.006259,0.001719,0.001761,0.006008,"dir",-0.001396,0.001717,0.001719
100,0.25,0.1,0.5,0.2,0.34464,0.34164,0.381467,0.344556,-0.003,0.036827,-8.4e-05,0.002251,0.003605,0.007245,0.002246,0.002253,0.007259,"dir",-0.003,0.002251,0.002246
100,0.25,0.1,0.5,0.25,0.466064,0.46604,0.505867,0.453215,-2.4e-05,0.039803,-0.01285,0.00236,0.003904,0.008026,0.002365,0.002325,0.007876,"dir",-2.4e-05,0.00236,0.002365
100,0.25,0.1,0.5,0.3,0.579825,0.58076,0.620587,0.558247,0.000935,0.040762,-0.021578,0.002455,0.004027,0.008092,0.002459,0.00237,0.007641,"dir",0.000935,0.002455,0.002459
100,0.25,0.1,0.5,0.35,0.68092,0.6821,0.721927,0.653832,0.00118,0.041007,-0.027088,0.002245,0.003809,0.007809,0.002248,0.002131,0.007089,"dir",0.00118,0.002245,0.002248
100,0.25,0.1,0.5,0.4,0.76672,0.767,0.806827,0.734714,0.00028,0.040107,-0.032006,0.001741,0.003224,0.007308,0.001744,0.001619,0.006296,"dir",0.00028,0.001741,0.001744
100,0.25,0.1,0.5,0.45,0.836433,0.83722,0.877047,0.803258,0.000787,0.040615,-0.033175,0.001338,0.002862,0.006077,0.00134,0.001215,0.004986,"dir",0.000787,0.001338,0.00134
100,0.25,0.1,0.5,0.5,0.890625,0.892,0.931812,0.859754,0.001375,0.041187,-0.030871,0.000988,0.002562,0.004693,0.000988,0.000868,0.003748,"dir",0.001375,0.000988,0.000988
100,0.25,0.1,0.5,0.55,0.930802,0.93036,0.969424,0.902718,-0.000442,0.038622,-0.028084,0.000645,0.001979,0.003387,0.000646,0.000489,0.002603,"dir",-0.000442,0.000645,0.000646
100,0.25,0.1,0.5,0.6,0.95904,0.95846,0.99179,0.935311,-0.00058,0.03275,-0.023729,0.000425,0.001225,0.00229,0.000425,0.000152,0.00173,"dir",-0.00058,0.000425,0.000425
100,0.25,0.1,0.5,0.65,0.977678,0.97688,0.998895,0.958052,-0.000798,0.021216,-0.019627,0.000246,0.000468,0.001547,0.000246,1.8e-05,0.001164,"dir",-0.000798,0.000246,0.000246
100,0.25,0.1,0.5,0.7,0.989065,0.98844,0.999955,0.973059,-0.000625,0.01089,-0.016006,0.000108,0.000119,0.000948,0.000108,1e-06,0.000693,"dir",-0.000625,0.000108,0.000108
100,0.25,0.1,0.5,0.75,0.995361,0.99498,1,0.982975,-0.000381,0.004639,-0.012387,4.8e-05,2.2e-05,0.00047,4.8e-05,0,0.000318,"dir",-0.000381,4.8e-05,4.8e-05
100,0.25,0.1,0.5,0.8,0.9984,0.99832,1,0.988823,-8e-05,0.0016,-0.009577,1.7e-05,3e-06,0.00022,1.7e-05,0,0.000128,"dir",-8e-05,1.7e-05,1.7e-05
100,0.25,0.1,0.5,0.85,0.999601,0.9995,1,0.991617,-0.000101,0.000399,-0.007985,5e-06,0,0.000111,5e-06,0,4.7e-05,"dir",-0.000101,5e-06,5e-06
100,0.25,0.1,0.5,0.9,0.999945,0.99996,1,0.992692,1.5e-05,5.5e-05,-0.007253,0,0,7.1e-05,0,0,1.8e-05,"dir",1.5e-05,0,0
100,0.25,0.1,0.5,0.95,0.999998,1,1,0.993128,2e-06,2e-06,-0.00687,0,0,5.1e-05,0,0,3e-06,"dir",2e-06,0,0
100,0.25,0.1,0.5,1,1,1,1,0.993292,0,0,-0.006708,0,0,4.5e-05,0,0,0,"dir",0,0,0
100,0.25,0.25,-0.5,0,0,0,0.040043,0.013474,0,0.040043,0.013474,0,0.001612,0.000375,0,8e-06,0.000194,"dir",0,0,0
100,0.25,0.25,-0.5,0.05,0.032774,0.033,0.073043,0.045846,0.000226,0.040269,0.013072,0.000303,0.001955,0.00089,0.000304,0.000334,0.000721,"dir",0.000226,0.000303,0.000304
100,0.25,0.25,-0.5,0.1,0.114265,0.11532,0.155363,0.106627,0.001055,0.041098,-0.007638,0.001051,0.002791,0.001791,0.001052,0.001104,0.001736,"dir",0.001055,0.001051,0.001052
100,0.25,0.25,-0.5,0.15,0.223516,0.22186,0.261903,0.19413,-0.001656,0.038388,-0.029385,0.001754,0.003271,0.004026,0.001755,0.001801,0.003169,"dir",-0.001656,0.001754,0.001755
100,0.25,0.25,-0.5,0.2,0.34464,0.34334,0.383383,0.304822,-0.0013,0.038743,-0.039818,0.002222,0.003749,0.006226,0.002225,0.002252,0.004649,"dir",-0.0013,0.002222,0.002225
100,0.25,0.25,-0.5,0.25,0.466064,0.4654,0.505443,0.430472,-0.000664,0.039379,-0.035592,0.002322,0.003863,0.006702,0.002327,0.002317,0.005446,"dir",-0.000664,0.002322,0.002327
100,0.25,0.25,-0.5,0.3,0.579825,0.57984,0.619883,0.55528,1.5e-05,0.040058,-0.024545,0.002265,0.003795,0.006305,0.002269,0.002195,0.005714,"dir",1.5e-05,0.002265,0.002269
100,0.25,0.25,-0.5,0.35,0.68092,0.68174,0.721783,0.666597,0.00082,0.040863,-0.014323,0.002169,0.003726,0.0055,0.002173,0.00206,0.005305,"dir",0.00082,0.002169,0.002173
100,0.25,0.25,-0.5,0.4,0.76672,0.76458,0.804623,0.760678,-0.00214,0.037903,-0.006042,0.001889,0.003175,0.004404,0.001888,0.001742,0.004376,"dir",-0.00214,0.001889,0.001888
100,0.25,0.25,-0.5,0.45,0.836433,0.83542,0.875463,0.835571,-0.001013,0.039031,-0.000862,0.001379,0.002766,0.003269,0.001381,0.001245,0.003274,"dir",-0.001013,0.001379,0.001381
100,0.25,0.25,-0.5,0.5,0.890625,0.88786,0.927903,0.890815,-0.002765,0.037278,0.00019,0.001022,0.002274,0.002209,0.001016,0.000886,0.002214,"dir",-0.002765,0.001022,0.001016
100,0.25,0.25,-0.5,0.55,0.930802,0.92818,0.967569,0.930377,-0.002622,0.036767,-0.000425,0.000677,0.001864,0.001348,0.000671,0.000513,0.001351,"dir",-0.002622,0.000677,0.000671
100,0.25,0.25,-0.5,0.6,0.95904,0.95768,0.991397,0.957581,-0.00136,0.032357,-0.001459,0.000443,0.00121,0.000733,0.000442,0.000164,0.000732,"dir",-0.00136,0.000443,0.000442
100,0.25,0.25,-0.5,0.65,0.977678,0.97642,0.998875,0.974526,-0.001258,0.021197,-0.003152,0.000248,0.000466,0.000367,0.000247,1.6e-05,0.000358,"dir",-0.001258,0.000248,0.000247
100,0.25,0.25,-0.5,0.7,0.989065,0.98842,0.999891,0.984552,-0.000645,0.010826,-0.004513,0.00012,0.000118,0.000171,0.00012,1e-06,0.000151,"dir",-0.000645,0.00012,0.00012
100,0.25,0.25,-0.5,0.75,0.995361,0.99524,1,0.989566,-0.000121,0.004639,-0.005795,4.6e-05,2.2e-05,9.6e-05,4.6e-05,0,6.3e-05,"dir",-0.000121,4.6e-05,4.6e-05
100,0.25,0.25,-0.5,0.8,0.9984,0.99816,1,0.991803,-0.00024,0.0016,-0.006597,1.7e-05,3e-06,6.7e-05,1.7e-05,0,2.3e-05,"dir",-0.00024,1.7e-05,1.7e-05
100,0.25,0.25,-0.5,0.85,0.999601,0.99944,1,0.992797,-0.000161,0.000399,-0.006804,5e-06,0,5.2e-05,5e-06,0,6e-06,"dir",-0.000161,5e-06,5e-06
100,0.25,0.25,-0.5,0.9,0.999945,0.99996,1,0.993214,1.5e-05,5.5e-05,-0.006731,0,0,4.6e-05,0,0,1e-06,"dir",1.5e-05,0,0
100,0.25,0.25,-0.5,0.95,0.999998,1,1,0.99332,2e-06,2e-06,-0.006679,0,0,4.5e-05,0,0,0,"dir",2e-06,0,0
100,0.25,0.25,-0.5,1,1,1,1,0.99332,0,0,-0.00668,0,0,4.5e-05,0,0,0,"dir",0,0,0
100,0.25,0.25,0,0,0,0,0.039732,0.045166,0,0.039732,0.045166,0,0.001586,0.002813,0,7e-06,0.000775,"dir",0,0,0
