"n","p1","ratec","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,16,-0.5,3.6,0.974526,0.972733,0.976101,0.971768,-0.001794,0.001575,-0.002759,0.000202,0.000172,0.000879,0.000199,0.00017,0.000873,"dir",-0.001794,0.000202,0.000199
100,0.25,16,-0.5,3.7,0.978129,0.976506,0.979397,0.975676,-0.001624,0.001268,-0.002453,0.000176,0.00015,0.000748,0.000173,0.000148,0.000744,"dir",-0.001624,0.000176,0.000173
100,0.25,16,-0.5,3.8,0.981243,0.979736,0.982226,0.979071,-0.001507,0.000983,-0.002172,0.000153,0.000129,0.000633,0.000151,0.000129,0.00063,"dir",-0.001507,0.000153,0.000151
100,0.25,16,-0.5,3.9,0.98393,0.982511,0.984668,0.982035,-0.001419,0.000738,-0.001895,0.000132,0.000111,0.000532,0.000131,0.000111,0.000529,"dir",-0.001419,0.000132,0.000131
100,0.25,16,-0.5,4,0.986246,0.984909,0.986788,0.984633,-0.001337,0.000542,-0.001613,0.000114,9.5e-05,0.000444,0.000112,9.5e-05,0.000443,"dir",-0.001337,0.000114,0.000112
100,0.25,16,0,0,0,0.011181,0.018307,0.023622,0.011181,0.018307,0.023622,0.000162,0.00041,0.000868,3.7e-05,7.5e-05,0.000311,"dir",0.011181,0.000162,3.7e-05
100,0.25,16,0,0.1,0.001148,0.019662,0.030501,0.03474,0.018514,0.029352,0.033591,0.000421,0.001003,0.001624,7.8e-05,0.000142,0.000496,"dir",0.018514,0.000421,7.8e-05
100,0.25,16,0,0.2,0.007926,0.032519,0.047923,0.049786,0.024593,0.039997,0.04186,0.000749,0.001837,0.002503,0.000144,0.000238,0.000752,"dir",0.024593,0.000749,0.000144
100,0.25,16,0,0.3,0.023115,0.050736,0.071284,0.069418,0.02762,0.048169,0.046302,0.000999,0.00268,0.003227,0.000237,0.00036,0.001085,"dir",0.02762,0.000999,0.000237
100,0.25,16,0,0.4,0.047423,0.074967,0.10083,0.09408,0.027545,0.053408,0.046658,0.001111,0.003356,0.003675,0.000353,0.000505,0.001501,"dir",0.027545,0.001111,0.000353
100,0.25,16,0,0.5,0.080301,0.105388,0.136283,0.123911,0.025086,0.055982,0.043609,0.001119,0.003804,0.0039,0.00049,0.000672,0.002002,"dir",0.025086,0.001119,0.00049
100,0.25,16,0,0.6,0.120513,0.141645,0.176914,0.158707,0.021132,0.056401,0.038195,0.001096,0.004037,0.004036,0.00065,0.000858,0.002582,"dir",0.021132,0.001096,0.00065
100,0.25,16,0,0.7,0.166502,0.182957,0.221706,0.197912,0.016455,0.055204,0.031409,0.0011,0.0041,0.004215,0.000831,0.001055,0.003235,"dir",0.016455,0.0011,0.000831
100,0.25,16,0,0.8,0.216642,0.22828,0.26952,0.240656,0.011638,0.052879,0.024015,0.001159,0.004045,0.004518,0.001025,0.001251,0.003949,"dir",0.011638,0.001159,0.001025
100,0.25,16,0,0.9,0.269379,0.276463,0.319205,0.285939,0.007084,0.049826,0.01656,0.001269,0.003915,0.00496,0.001221,0.001435,0.004695,"dir",0.007084,0.001269,0.001221
100,0.25,16,0,1,0.323324,0.326361,0.369683,0.332798,0.003038,0.046359,0.009474,0.001414,0.003743,0.005509,0.001407,0.001597,0.00543,"dir",0.003038,0.001414,0.001407
100,0.25,16,0,1.1,0.377286,0.376915,0.420009,0.380442,-0.000371,0.042723,0.003155,0.001572,0.003546,0.006106,0.001575,0.001724,0.006108,"dir",-0.000371,0.001572,0.001575
100,0.25,16,0,1.2,0.430291,0.427199,0.469391,0.428193,-0.003092,0.039099,-0.002099,0.001719,0.003331,0.006678,0.001713,0.001806,0.006687,"dir",-0.003092,0.001719,0.001713
100,0.25,16,0,1.3,0.48157,0.476433,0.517173,0.475366,-0.005137,0.035602,-0.006205,0.001832,0.00311,0.007129,0.001809,0.001846,0.007105,"dir",-0.005137,0.001832,0.001809
100,0.25,16,0,1.4,0.530546,0.523969,0.562816,0.521307,-0.006577,0.03227,-0.009239,0.001908,0.002892,0.007406,0.001868,0.001855,0.007336,"dir",-0.006577,0.001908,0.001868
100,0.25,16,0,1.5,0.57681,0.569278,0.605899,0.565431,-0.007532,0.029089,-0.011379,0.001948,0.002677,0.007532,0.001895,0.001835,0.007417,"dir",-0.007532,0.001948,0.001895
100,0.25,16,0,1.6,0.620096,0.611957,0.646125,0.607257,-0.008139,0.026029,-0.012839,0.001951,0.002457,0.007521,0.001889,0.001783,0.007371,"dir",-0.008139,0.001951,0.001889
100,0.25,16,0,1.7,0.66026,0.651739,0.683323,0.646448,-0.008521,0.023063,-0.013812,0.001914,0.00223,0.007385,0.001846,0.001702,0.007208,"dir",-0.008521,0.001914,0.001846
100,0.25,16,0,1.8,0.697253,0.688472,0.717436,0.682818,-0.008781,0.020183,-0.014435,0.001842,0.001999,0.007144,0.001768,0.001595,0.00695,"dir",-0.008781,0.001842,0.001768
100,0.25,16,0,1.9,0.731103,0.72212,0.748525,0.716276,-0.008984,0.017422,-0.014827,0.001739,0.001771,0.006823,0.001662,0.001471,0.006617,"dir",-0.008984,0.001739,0.001662
100,0.25,16,0,2,0.761897,0.75276,0.776752,0.746817,-0.009137,0.014855,-0.01508,0.001617,0.001556,0.006427,0.001536,0.001338,0.006212,"dir",-0.009137,0.001617,0.001536
100,0.25,16,0,2.1,0.789762,0.780566,0.802332,0.774575,-0.009196,0.01257,-0.015187,0.001483,0.001361,0.005968,0.001401,0.001205,0.005748,"dir",-0.009196,0.001483,0.001401
100,0.25,16,0,2.2,0.814858,0.805759,0.825482,0.79977,-0.009099,0.010624,-0.015088,0.001345,0.001187,0.005478,0.001264,0.001076,0.005261,"dir",-0.009099,0.001345,0.001264
100,0.25,16,0,2.3,0.837361,0.828551,0.846377,0.822617,-0.008811,0.009015,-0.014744,0.001205,0.001034,0.004992,0.00113,0.000954,0.004784,"dir",-0.008811,0.001205,0.00113
