"n","p1","a","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
500,0.75,10,0,1.8,0.96407,0.957545,0.965582,0.955101,-0.006525,0.001512,-0.008969,9.7e-05,4.4e-05,0.000154,5.4e-05,4.2e-05,7.4e-05,"dir_sd",0.001512,4.4e-05,4.2e-05
500,0.75,10,0,1.9,0.971283,0.96557,0.97232,0.963392,-0.005714,0.001036,-0.007891,7.7e-05,3.5e-05,0.000122,4.4e-05,3.4e-05,6e-05,"dir_sd",0.001036,3.5e-05,3.4e-05
500,0.75,10,0,2,0.97725,0.972308,0.97792,0.970388,-0.004942,0.000671,-0.006861,6e-05,2.7e-05,9.5e-05,3.5e-05,2.7e-05,4.8e-05,"dir_sd",0.000671,2.7e-05,2.7e-05
500,0.75,10,0,2.1,0.982136,0.977909,0.98253,0.976235,-0.004227,0.000394,-0.005901,4.6e-05,2.1e-05,7.3e-05,2.8e-05,2.1e-05,3.8e-05,"dir_sd",0.000394,2.1e-05,2.1e-05
500,0.75,10,0,2.2,0.986097,0.982519,0.986287,0.981074,-0.003578,0.000191,-0.005023,3.4e-05,1.6e-05,5.5e-05,2.2e-05,1.6e-05,3e-05,"dir_sd",0.000191,1.6e-05,1.6e-05
500,0.75,10,0,2.3,0.989276,0.986277,0.989322,0.985042,-0.002999,4.6e-05,-0.004234,2.6e-05,1.2e-05,4.1e-05,1.7e-05,1.2e-05,2.3e-05,"dir_sd",4.6e-05,1.2e-05,1.2e-05
500,0.75,10,0,2.4,0.991802,0.989312,0.991748,0.988266,-0.00249,-5.4e-05,-0.003536,1.9e-05,9e-06,3e-05,1.3e-05,9e-06,1.8e-05,"dir_sd",-5.4e-05,9e-06,9e-06
500,0.75,10,0,2.5,0.99379,0.99174,0.993672,0.990862,-0.00205,-0.000118,-0.002928,1.4e-05,7e-06,2.2e-05,1e-05,7e-06,1.3e-05,"dir_sd",-0.000118,7e-06,7e-06
500,0.75,10,0,2.6,0.995339,0.993665,0.995184,0.992935,-0.001674,-0.000155,-0.002403,1e-05,5e-06,1.6e-05,7e-06,5e-06,1e-05,"dir_sd",-0.000155,5e-06,5e-06
500,0.75,10,0,2.7,0.996533,0.995177,0.996363,0.994578,-0.001356,-0.00017,-0.001955,7e-06,4e-06,1.1e-05,5e-06,4e-06,7e-06,"dir_sd",-0.00017,4e-06,4e-06
500,0.75,10,0,2.8,0.997445,0.996358,0.997277,0.995871,-0.001087,-0.000168,-0.001574,5e-06,3e-06,8e-06,4e-06,3e-06,5e-06,"dir_sd",-0.000168,3e-06,3e-06
500,0.75,10,0,2.9,0.998134,0.997273,0.997981,0.996882,-0.000862,-0.000153,-0.001252,4e-06,2e-06,5e-06,3e-06,2e-06,4e-06,"dir_sd",-0.000153,2e-06,2e-06
500,0.75,10,0,3,0.99865,0.997977,0.998519,0.997666,-0.000673,-0.000132,-0.000984,2e-06,1e-06,4e-06,2e-06,1e-06,3e-06,"dir_sd",-0.000132,1e-06,1e-06
500,0.75,10,0,3.1,0.999032,0.998515,0.998925,0.998271,-0.000517,-0.000108,-0.000762,2e-06,1e-06,3e-06,1e-06,1e-06,2e-06,"dir_sd",-0.000108,1e-06,1e-06
500,0.75,10,0,3.2,0.999313,0.998922,0.999228,0.998732,-0.00039,-8.5e-05,-0.000581,1e-06,1e-06,2e-06,1e-06,1e-06,1e-06,"dir_sd",-8.5e-05,1e-06,1e-06
500,0.75,10,0,3.3,0.999517,0.999226,0.999451,0.99908,-0.00029,-6.6e-05,-0.000436,1e-06,0,1e-06,1e-06,0,1e-06,"dir_sd",-6.6e-05,0,0
500,0.75,10,0,3.4,0.999663,0.99945,0.999613,0.99934,-0.000213,-5e-05,-0.000323,1e-06,0,1e-06,0,0,1e-06,"dir_sd",-5e-05,0,0
500,0.75,10,0,3.5,0.999767,0.999612,0.999729,0.999531,-0.000155,-3.8e-05,-0.000237,0,0,1e-06,0,0,0,"dir_sd",-3.8e-05,0,0
500,0.75,10,0,3.6,0.999841,0.999729,0.999813,0.999669,-0.000112,-2.8e-05,-0.000171,0,0,0,0,0,0,"dir_sd",-2.8e-05,0,0
500,0.75,10,0,3.7,0.999892,0.999812,0.999872,0.999769,-8e-05,-2e-05,-0.000123,0,0,0,0,0,0,"dir_sd",-2e-05,0,0
500,0.75,10,0,3.8,0.999928,0.999871,0.999914,0.99984,-5.6e-05,-1.4e-05,-8.7e-05,0,0,0,0,0,0,"dir_sd",-1.4e-05,0,0
500,0.75,10,0,3.9,0.999952,0.999913,0.999943,0.99989,-3.9e-05,-9e-06,-6.1e-05,0,0,0,0,0,0,"dir_sd",-9e-06,0,0
500,0.75,10,0,4,0.999968,0.999942,0.999962,0.999926,-2.6e-05,-6e-06,-4.3e-05,0,0,0,0,0,0,"dir_sd",-6e-06,0,0
500,0.75,10,0.5,-4,3.2e-05,8.3e-05,0.000119,0.000196,5.2e-05,8.7e-05,0.000164,0,0,0,0,0,0,"dir_sd",8.7e-05,0,0
500,0.75,10,0.5,-3.9,4.8e-05,0.000118,0.000167,0.000265,7e-05,0.000119,0.000217,0,0,0,0,0,0,"dir_sd",0.000119,0,0
500,0.75,10,0.5,-3.8,7.2e-05,0.000166,0.000232,0.000358,9.4e-05,0.00016,0.000286,0,0,0,0,0,0,"dir_sd",0.00016,0,0
500,0.75,10,0.5,-3.7,0.000108,0.000231,0.00032,0.000483,0.000123,0.000213,0.000376,0,0,1e-06,0,0,1e-06,"dir_sd",0.000213,0,0
500,0.75,10,0.5,-3.6,0.000159,0.000319,0.000441,0.000652,0.00016,0.000282,0.000492,0,0,1e-06,0,0,1e-06,"dir_sd",0.000282,0,0
500,0.75,10,0.5,-3.5,0.000233,0.00044,0.000606,0.000877,0.000207,0.000374,0.000644,0,1e-06,1e-06,0,1e-06,1e-06,"dir_sd",0.000374,1e-06,1e-06
500,0.75,10,0.5,-3.4,0.000337,0.000605,0.000832,0.001176,0.000268,0.000495,0.000839,1e-06,1e-06,2e-06,1e-06,1e-06,1e-06,"dir_sd",0.000495,1e-06,1e-06
500,0.75,10,0.5,-3.3,0.000483,0.00083,0.001138,0.001571,0.000346,0.000655,0.001088,1e-06,1e-06,3e-06,1e-06,1e-06,2e-06,"dir_sd",0.000655,1e-06,1e-06
500,0.75,10,0.5,-3.2,0.000687,0.001135,0.00155,0.002087,0.000448,0.000863,0.0014,1e-06,2e-06,4e-06,1e-06,1e-06,2e-06,"dir_sd",0.000863,2e-06,1e-06
500,0.75,10,0.5,-3.1,0.000968,0.001546,0.002095,0.002754,0.000578,0.001128,0.001786,2e-06,3e-06,6e-06,1e-06,2e-06,3e-06,"dir_sd",0.001128,3e-06,2e-06
500,0.75,10,0.5,-3,0.00135,0.00209,0.002811,0.003608,0.000741,0.001461,0.002258,2e-06,5e-06,1e-05,2e-06,3e-06,4e-06,"dir_sd",0.001461,5e-06,3e-06
500,0.75,10,0.5,-2.9,0.001866,0.002805,0.003738,0.004692,0.000939,0.001872,0.002826,4e-06,7e-06,1.4e-05,3e-06,4e-06,6e-06,"dir_sd",0.001872,7e-06,4e-06
500,0.75,10,0.5,-2.8,0.002555,0.003731,0.00493,0.006059,0.001176,0.002375,0.003504,5e-06,1.1e-05,2e-05,4e-06,5e-06,8e-06,"dir_sd",0.002375,1.1e-05,5e-06
500,0.75,10,0.5,-2.7,0.003467,0.004921,0.006449,0.00777,0.001454,0.002982,0.004303,7e-06,1.6e-05,2.9e-05,5e-06,7e-06,1.1e-05,"dir_sd",0.002982,1.6e-05,7e-06
500,0.75,10,0.5,-2.6,0.004661,0.006439,0.008374,0.009897,0.001777,0.003712,0.005236,1e-05,2.3e-05,4.2e-05,7e-06,9e-06,1.4e-05,"dir_sd",0.003712,2.3e-05,9e-06
500,0.75,10,0.5,-2.5,0.00621,0.008361,0.010794,0.012523,0.002152,0.004585,0.006313,1.3e-05,3.3e-05,5.9e-05,9e-06,1.2e-05,1.9e-05,"dir_sd",0.004585,3.3e-05,1.2e-05
500,0.75,10,0.5,-2.4,0.008198,0.01078,0.013815,0.015739,0.002582,0.005618,0.007541,1.8e-05,4.7e-05,8.1e-05,1.2e-05,1.6e-05,2.4e-05,"dir_sd",0.005618,4.7e-05,1.6e-05
500,0.75,10,0.5,-2.3,0.010724,0.013799,0.017554,0.019647,0.003075,0.00683,0.008923,2.5e-05,6.7e-05,0.000111,1.5e-05,2.1e-05,3.1e-05,"dir_sd",0.00683,6.7e-05,2.1e-05
500,0.75,10,0.5,-2.2,0.013903,0.017536,0.022138,0.024356,0.003632,0.008235,0.010453,3.3e-05,9.4e-05,0.000149,2e-05,2.7e-05,4e-05,"dir_sd",0.008235,9.4e-05,2.7e-05
500,0.75,10,0.5,-2.1,0.017864,0.022117,0.027706,0.029983,0.004253,0.009841,0.012119,4.4e-05,0.000131,0.000197,2.6e-05,3.4e-05,5.1e-05,"dir_sd",0.009841,0.000131,3.4e-05
500,0.75,10,0.5,-2,0.02275,0.027682,0.034405,0.036651,0.004932,0.011655,0.013901,5.7e-05,0.000179,0.000256,3.3e-05,4.4e-05,6.3e-05,"dir_sd",0.011655,0.000179,4.4e-05
500,0.75,10,0.5,-1.9,0.028717,0.034379,0.042394,0.044486,0.005663,0.013677,0.015769,7.4e-05,0.000242,0.000327,4.2e-05,5.5e-05,7.8e-05,"dir_sd",0.013677,0.000242,5.5e-05
500,0.75,10,0.5,-1.8,0.03593,0.042366,0.051835,0.053615,0.006435,0.015905,0.017685,9.4e-05,0.000322,0.000409,5.3e-05,6.9e-05,9.6e-05,"dir_sd",0.015905,0.000322,6.9e-05
500,0.75,10,0.5,-1.7,0.044565,0.051805,0.062892,0.064164,0.00724,0.018326,0.019598,0.000118,0.000422,0.000501,6.6e-05,8.6e-05,0.000117,"dir_sd",0.018326,0.000422,8.6e-05
500,0.75,10,0.5,-1.6,0.054799,0.06286,0.075715,0.076249,0.00806,0.020916,0.021449,0.000147,0.000542,0.000602,8.2e-05,0.000105,0.000142,"dir_sd",0.020916,0.000542,0.000105
500,0.75,10,0.5,-1.5,0.066807,0.075682,0.090439,0.089978,0.008875,0.023632,0.02317,0.000178,0.000684,0.000706,1e-04,0.000126,0.000169,"dir_sd",0.023632,0.000684,0.000126
500,0.75,10,0.5,-1.4,0.080757,0.090404,0.10717,0.105445,0.009648,0.026413,0.024688,0.000213,0.000846,0.000809,0.00012,0.000149,2e-04,"dir_sd",0.026413,0.000846,0.000149
500,0.75,10,0.5,-1.3,0.0968,0.107135,0.125988,0.122727,0.010334,0.029188,0.025927,0.000248,0.001025,0.000905,0.000141,0.000173,0.000233,"dir_sd",0.029188,0.001025,0.000173
500,0.75,10,0.5,-1.2,0.11507,0.125954,0.146949,0.141881,0.010884,0.031879,0.026812,0.000282,0.001215,0.000987,0.000164,0.000199,0.000269,"dir_sd",0.031879,0.001215,0.000199
500,0.75,10,0.5,-1.1,0.135666,0.146915,0.170076,0.16294,0.011249,0.03441,0.027274,0.000315,0.00141,0.00105,0.000189,0.000226,0.000307,"dir_sd",0.03441,0.00141,0.000226
500,0.75,10,0.5,-1,0.158655,0.170044,0.195363,0.185909,0.011389,0.036707,0.027254,0.000344,0.001602,0.001088,0.000215,0.000255,0.000345,"dir_sd",0.036707,0.001602,0.000255
500,0.75,10,0.5,-0.9,0.18406,0.195333,0.222768,0.210765,0.011273,0.038708,0.026705,0.00037,0.001782,0.001096,0.000243,0.000284,0.000384,"dir_sd",0.038708,0.001782,0.000284
500,0.75,10,0.5,-0.8,0.211855,0.22274,0.252209,0.237453,0.010885,0.040353,0.025598,0.00039,0.001941,0.001075,0.000272,0.000313,0.000421,"dir_sd",0.040353,0.001941,0.000313
500,0.75,10,0.5,-0.7,0.241964,0.252183,0.28356,0.265889,0.01022,0.041596,0.023925,0.000404,0.002068,0.001026,3e-04,0.000339,0.000455,"dir_sd",0.041596,0.002068,0.000339
500,0.75,10,0.5,-0.6,0.274253,0.283536,0.316649,0.29595,0.009283,0.042396,0.021697,0.000412,0.002156,0.000953,0.000327,0.00036,0.000483,"dir_sd",0.042396,0.002156,0.00036
500,0.75,10,0.5,-0.5,0.308538,0.316627,0.35126,0.32748,0.00809,0.042722,0.018943,0.000414,0.0022,0.000864,0.000349,0.000375,0.000506,"dir_sd",0.042722,0.0022,0.000375
500,0.75,10,0.5,-0.4,0.344578,0.35124,0.387136,0.360288,0.006662,0.042558,0.01571,0.000409,0.002195,0.000768,0.000366,0.000385,0.000522,"dir_sd",0.042558,0.002195,0.000385
500,0.75,10,0.5,-0.3,0.382089,0.387118,0.423994,0.39415,0.00503,0.041905,0.012061,0.000402,0.002144,0.000677,0.000377,0.000389,0.000532,"dir_sd",0.041905,0.002144,0.000389
500,0.75,10,0.5,-0.2,0.42074,0.423977,0.461524,0.428817,0.003236,0.040783,0.008077,0.000394,0.002052,0.000601,0.000384,0.000389,0.000537,"dir_sd",0.040783,0.002052,0.000389
500,0.75,10,0.5,-0.0999999999999996,0.460172,0.461508,0.499405,0.464025,0.001335,0.039233,0.003853,0.000388,0.001925,0.000551,0.000387,0.000386,0.000537,"dir_sd",0.039233,0.001925,0.000386
500,0.75,10,0.5,0,0.5,0.499389,0.537308,0.499498,-0.000611,0.037308,-0.000502,0.000386,0.001771,0.000533,0.000386,0.00038,0.000534,"dir_sd",0.037308,0.001771,0.00038
500,0.75,10,0.5,0.100000000000001,0.539828,0.537292,0.5749,0.534959,-0.002536,0.035072,-0.004869,0.000389,0.001601,0.00055,0.000383,0.000372,0.000527,"dir_sd",0.035072,0.001601,0.000372
500,0.75,10,0.5,0.2,0.57926,0.574884,0.611854,0.570131,-0.004376,0.032594,-0.009128,0.000396,0.001423,6e-04,0.000377,0.000361,0.000517,"dir_sd",0.032594,0.001423,0.000361
500,0.75,10,0.5,0.3,0.617911,0.611838,0.647857,0.604751,-0.006074,0.029945,-0.013161,0.000405,0.001244,0.000677,0.000369,0.000348,0.000505,"dir_sd",0.029945,0.001244,0.000348
500,0.75,10,0.5,0.4,0.655422,0.647839,0.682612,0.638565,-0.007583,0.02719,-0.016857,0.000415,0.00107,0.000772,0.000358,0.000332,0.000489,"dir_sd",0.02719,0.00107,0.000332
500,0.75,10,0.5,0.5,0.691462,0.682592,0.715852,0.67134,-0.008871,0.02439,-0.020122,0.000421,0.000907,0.000873,0.000343,0.000313,0.000469,"dir_sd",0.02439,0.000907,0.000313
500,0.75,10,0.5,0.600000000000001,0.725747,0.715829,0.747345,0.702863,-0.009918,0.021598,-0.022884,0.000423,0.000757,0.000968,0.000325,0.000292,0.000445,"dir_sd",0.021598,0.000757,0.000292
500,0.75,10,0.5,0.7,0.758036,0.747319,0.776904,0.732947,-0.010717,0.018868,-0.02509,0.000418,0.000625,0.001046,0.000304,0.000269,0.000417,"dir_sd",0.018868,0.000625,0.000269
500,0.75,10,0.5,0.800000000000001,0.788145,0.776876,0.804394,0.761431,-0.011269,0.016249,-0.026713,0.000408,0.000509,0.0011,0.000282,0.000246,0.000387,"dir_sd",0.016249,0.000509,0.000246
500,0.75,10,0.5,0.9,0.81594,0.804364,0.829731,0.78819,-0.011576,0.013791,-0.02775,0.000392,0.000412,0.001124,0.000258,0.000222,0.000355,"dir_sd",0.013791,0.000412,0.000222
500,0.75,10,0.5,1,0.841345,0.829699,0.852881,0.81313,-0.011645,0.011536,-0.028215,0.000368,0.00033,0.001118,0.000233,0.000197,0.000323,"dir_sd",0.011536,0.00033,0.000197
500,0.75,10,0.5,1.1,0.864334,0.852848,0.873848,0.836194,-0.011486,0.009514,-0.02814,0.000339,0.000262,0.001082,0.000208,0.000172,0.00029,"dir_sd",0.009514,0.000262,0.000172
500,0.75,10,0.5,1.2,0.88493,0.873815,0.892672,0.857356,-0.011116,0.007741,-0.027574,0.000305,0.000207,0.001018,0.000181,0.000148,0.000258,"dir_sd",0.007741,0.000207,0.000148
500,0.75,10,0.5,1.3,0.9032,0.892637,0.909414,0.876621,-0.010562,0.006215,-0.026578,0.000267,0.000163,0.000933,0.000156,0.000124,0.000227,"dir_sd",0.006215,0.000163,0.000124
500,0.75,10,0.5,1.4,0.919243,0.909379,0.924161,0.894018,-0.009864,0.004918,-0.025226,0.000228,0.000127,0.000833,0.000131,0.000103,0.000197,"dir_sd",0.004918,0.000127,0.000103
500,0.75,10,0.5,1.5,0.933193,0.924127,0.937021,0.909596,-0.009066,0.003828,-0.023596,0.000191,9.9e-05,0.000724,0.000109,8.5e-05,0.000168,"dir_sd",0.003828,9.9e-05,8.5e-05
500,0.75,10,0.5,1.6,0.945201,0.936988,0.948125,0.923429,-0.008212,0.002925,-0.021772,0.000156,7.7e-05,0.000615,8.9e-05,6.8e-05,0.000141,"dir_sd",0.002925,7.7e-05,6.8e-05
500,0.75,10,0.5,1.7,0.955435,0.948094,0.95762,0.935604,-0.00734,0.002186,-0.01983,0.000126,6e-05,0.00051,7.2e-05,5.5e-05,0.000117,"dir_sd",0.002186,6e-05,5.5e-05
500,0.75,10,0.5,1.8,0.96407,0.957591,0.965661,0.946228,-0.006479,0.001592,-0.017842,1e-04,4.6e-05,0.000414,5.8e-05,4.4e-05,9.6e-05,"dir_sd",0.001592,4.6e-05,4.4e-05
500,0.75,10,0.5,1.9,0.971283,0.965635,0.972407,0.955417,-0.005648,0.001124,-0.015866,7.8e-05,3.6e-05,0.00033,4.6e-05,3.4e-05,7.8e-05,"dir_sd",0.001124,3.6e-05,3.4e-05
500,0.75,10,0.5,2,0.97725,0.972384,0.978012,0.963296,-0.004866,0.000762,-0.013954,6e-05,2.7e-05,0.000258,3.6e-05,2.7e-05,6.3e-05,"dir_sd",0.000762,2.7e-05,2.7e-05
500,0.75,10,0.5,2.1,0.982136,0.97799,0.982623,0.969993,-0.004145,0.000487,-0.012142,4.5e-05,2.1e-05,0.000197,2.8e-05,2.1e-05,5e-05,"dir_sd",0.000487,2.1e-05,2.1e-05
500,0.75,10,0.5,2.2,0.986097,0.982604,0.986381,0.975638,-0.003493,0.000285,-0.010458,3.4e-05,1.6e-05,0.000149,2.2e-05,1.6e-05,4e-05,"dir_sd",0.000285,1.6e-05,1.6e-05
500,0.75,10,0.5,2.3,0.989276,0.986364,0.989418,0.980356,-0.002911,0.000142,-0.00892,2.5e-05,1.2e-05,0.00011,1.7e-05,1.2e-05,3.1e-05,"dir_sd",0.000142,1.2e-05,1.2e-05
500,0.75,10,0.5,2.4,0.991802,0.989404,0.991852,0.984269,-0.002399,4.9e-05,-0.007533,1.8e-05,9e-06,8e-05,1.3e-05,9e-06,2.4e-05,"dir_sd",4.9e-05,9e-06,9e-06
500,0.75,10,0.5,2.5,0.99379,0.991839,0.993785,0.987491,-0.001951,-5e-06,-0.0063,1.3e-05,7e-06,5.8e-05,9e-06,7e-06,1.8e-05,"dir_sd",-5e-06,7e-06,7e-06
500,0.75,10,0.5,2.6,0.995339,0.993774,0.995305,0.990125,-0.001565,-3.4e-05,-0.005214,1e-05,5e-06,4.1e-05,7e-06,5e-06,1.4e-05,"dir_sd",-3.4e-05,5e-06,5e-06
500,0.75,10,0.5,2.7,0.996533,0.995296,0.996487,0.992265,-0.001237,-4.6e-05,-0.004268,7e-06,4e-06,2.8e-05,5e-06,4e-06,1e-05,"dir_sd",-4.6e-05,4e-06,4e-06
500,0.75,10,0.5,2.8,0.997445,0.996479,0.997393,0.993991,-0.000966,-5.2e-05,-0.003454,5e-06,3e-06,2e-05,4e-06,3e-06,8e-06,"dir_sd",-5.2e-05,3e-06,3e-06
500,0.75,10,0.5,2.9,0.998134,0.997387,0.998079,0.995372,-0.000747,-5.5e-05,-0.002762,3e-06,2e-06,1.3e-05,3e-06,2e-06,6e-06,"dir_sd",-5.5e-05,2e-06,2e-06
500,0.75,10,0.5,3,0.99865,0.998074,0.998591,0.996465,-0.000576,-5.9e-05,-0.002185,2e-06,2e-06,9e-06,2e-06,2e-06,4e-06,"dir_sd",-5.9e-05,2e-06,2e-06
500,0.75,10,0.5,3.1,0.999032,0.998587,0.998971,0.997322,-0.000445,-6.2e-05,-0.001711,2e-06,1e-06,6e-06,2e-06,1e-06,3e-06,"dir_sd",-6.2e-05,1e-06,1e-06
500,0.75,10,0.5,3.2,0.999313,0.998968,0.99925,0.997985,-0.000345,-6.3e-05,-0.001328,1e-06,1e-06,4e-06,1e-06,1e-06,2e-06,"dir_sd",-6.3e-05,1e-06,1e-06
500,0.75,10,0.5,3.3,0.999517,0.999247,0.999455,0.998492,-0.000269,-6.2e-05,-0.001024,1e-06,1e-06,3e-06,1e-06,1e-06,2e-06,"dir_sd",-6.2e-05,1e-06,1e-06
500,0.75,10,0.5,3.4,0.999663,0.999453,0.999605,0.998877,-0.00021,-5.8e-05,-0.000786,1e-06,0,2e-06,1e-06,0,1e-06,"dir_sd",-5.8e-05,0,0
500,0.75,10,0.5,3.5,0.999767,0.999604,0.999715,0.999167,-0.000164,-5.2e-05,-6e-04,0,0,1e-06,0,0,1e-06,"dir_sd",-5.2e-05,0,0
500,0.75,10,0.5,3.6,0.999841,0.999714,0.999795,0.999384,-0.000127,-4.6e-05,-0.000457,0,0,1e-06,0,0,1e-06,"dir_sd",-4.6e-05,0,0
500,0.75,10,0.5,3.7,0.999892,0.999794,0.999853,0.999546,-9.8e-05,-3.9e-05,-0.000346,0,0,1e-06,0,0,1e-06,"dir_sd",-3.9e-05,0,0
500,0.75,10,0.5,3.8,0.999928,0.999852,0.999894,0.999667,-7.6e-05,-3.3e-05,-0.000261,0,0,0,0,0,0,"dir_sd",-3.3e-05,0,0
500,0.75,10,0.5,3.9,0.999952,0.999894,0.999924,0.999756,-5.8e-05,-2.8e-05,-0.000196,0,0,0,0,0,0,"dir_sd",-2.8e-05,0,0
500,0.75,10,0.5,4,0.999968,0.999924,0.999945,0.999822,-4.5e-05,-2.3e-05,-0.000146,0,0,0,0,0,0,"dir_sd",-2.3e-05,0,0
500,0.75,3,-0.5,-4,3.2e-05,6.3e-05,9.5e-05,3e-05,3.1e-05,6.4e-05,-2e-06,0,0,0,0,0,0,"dir_sd",6.4e-05,0,0
500,0.75,3,-0.5,-3.9,4.8e-05,9.5e-05,0.000142,4.6e-05,4.7e-05,9.4e-05,-2e-06,0,0,0,0,0,0,"dir_sd",9.4e-05,0,0
500,0.75,3,-0.5,-3.8,7.2e-05,0.000142,0.000209,7e-05,6.9e-05,0.000137,-3e-06,0,0,0,0,0,0,"dir_sd",0.000137,0,0
500,0.75,3,-0.5,-3.7,0.000108,0.000208,0.000302,0.000104,1e-04,0.000194,-4e-06,0,0,0,0,0,0,"dir_sd",0.000194,0,0
500,0.75,3,-0.5,-3.6,0.000159,3e-04,0.000429,0.000153,0.000141,0.00027,-6e-06,0,0,0,0,0,0,"dir_sd",0.00027,0,0
500,0.75,3,-0.5,-3.5,0.000233,0.000427,0.000601,0.000222,0.000194,0.000368,-1e-05,0,1e-06,0,0,1e-06,0,"dir_sd",0.000368,1e-06,1e-06
500,0.75,3,-0.5,-3.4,0.000337,0.000599,0.000833,0.000319,0.000262,0.000496,-1.8e-05,1e-06,1e-06,0,1e-06,1e-06,0,"dir_sd",0.000496,1e-06,1e-06
500,0.75,3,-0.5,-3.3,0.000483,0.000829,0.001142,0.000452,0.000346,0.000659,-3.1e-05,1e-06,2e-06,0,1e-06,1e-06,0,"dir_sd",0.000659,2e-06,1e-06
500,0.75,3,-0.5,-3.2,0.000687,0.001138,0.001554,0.000635,0.000451,0.000867,-5.2e-05,1e-06,2e-06,1e-06,1e-06,2e-06,1e-06,"dir_sd",0.000867,2e-06,2e-06
500,0.75,3,-0.5,-3.1,0.000968,0.00155,0.0021,0.000886,0.000582,0.001133,-8.2e-05,2e-06,4e-06,1e-06,2e-06,2e-06,1e-06,"dir_sd",0.001133,4e-06,2e-06
500,0.75,3,-0.5,-3,0.00135,0.002094,0.002817,0.001227,0.000744,0.001467,-0.000122,3e-06,5e-06,1e-06,2e-06,3e-06,1e-06,"dir_sd",0.001467,5e-06,3e-06
500,0.75,3,-0.5,-2.9,0.001866,0.00281,0.003751,0.00169,0.000944,0.001885,-0.000176,4e-06,8e-06,2e-06,3e-06,4e-06,2e-06,"dir_sd",0.001885,8e-06,4e-06
500,0.75,3,-0.5,-2.8,0.002555,0.003743,0.004955,0.002311,0.001187,0.0024,-0.000244,6e-06,1.2e-05,3e-06,4e-06,6e-06,3e-06,"dir_sd",0.0024,1.2e-05,6e-06
500,0.75,3,-0.5,-2.7,0.003467,0.004946,0.006493,0.003139,0.001479,0.003026,-0.000328,8e-06,1.7e-05,4e-06,6e-06,8e-06,4e-06,"dir_sd",0.003026,1.7e-05,8e-06
500,0.75,3,-0.5,-2.6,0.004661,0.006483,0.00844,0.00423,0.001821,0.003779,-0.000432,1.1e-05,2.5e-05,6e-06,8e-06,1.1e-05,6e-06,"dir_sd",0.003779,2.5e-05,1.1e-05
500,0.75,3,-0.5,-2.5,0.00621,0.008428,0.010884,0.005652,0.002219,0.004674,-0.000558,1.6e-05,3.7e-05,8e-06,1.1e-05,1.5e-05,8e-06,"dir_sd",0.004674,3.7e-05,1.5e-05
500,0.75,3,-0.5,-2.4,0.008198,0.01087,0.013924,0.007488,0.002673,0.005726,-0.00071,2.1e-05,5.2e-05,1.1e-05,1.4e-05,1.9e-05,1.1e-05,"dir_sd",0.005726,5.2e-05,1.9e-05
500,0.75,3,-0.5,-2.3,0.010724,0.013909,0.017674,0.009834,0.003185,0.00695,-0.00089,2.9e-05,7.3e-05,1.6e-05,1.9e-05,2.5e-05,1.5e-05,"dir_sd",0.00695,7.3e-05,2.5e-05
500,0.75,3,-0.5,-2.2,0.013903,0.017659,0.022263,0.012802,0.003755,0.008359,-0.001101,3.8e-05,0.000102,2.1e-05,2.4e-05,3.2e-05,2e-05,"dir_sd",0.008359,0.000102,3.2e-05
500,0.75,3,-0.5,-2.1,0.017864,0.022246,0.027824,0.016523,0.004381,0.00996,-0.001342,5e-05,0.000141,2.9e-05,3.1e-05,4.1e-05,2.7e-05,"dir_sd",0.00996,0.000141,4.1e-05
500,0.75,3,-0.5,-2,0.02275,0.027807,0.034502,0.021142,0.005056,0.011752,-0.001608,6.5e-05,0.00019,3.9e-05,4e-05,5.2e-05,3.6e-05,"dir_sd",0.011752,0.00019,5.2e-05
500,0.75,3,-0.5,-1.9,0.028717,0.034484,0.042444,0.026821,0.005767,0.013727,-0.001896,8.3e-05,0.000253,5.1e-05,5e-05,6.5e-05,4.7e-05,"dir_sd",0.013727,0.000253,6.5e-05
500,0.75,3,-0.5,-1.8,0.03593,0.042426,0.051803,0.033733,0.006496,0.015873,-0.002197,0.000104,0.000331,6.6e-05,6.2e-05,7.9e-05,6.1e-05,"dir_sd",0.015873,0.000331,7.9e-05
500,0.75,3,-0.5,-1.7,0.044565,0.051786,0.062733,0.04206,0.007221,0.018168,-0.002505,0.000127,0.000425,8.4e-05,7.5e-05,9.5e-05,7.8e-05,"dir_sd",0.018168,0.000425,9.5e-05
500,0.75,3,-0.5,-1.6,0.054799,0.062718,0.075387,0.051986,0.007919,0.020587,-0.002813,0.000152,0.000536,0.000105,9e-05,0.000112,9.7e-05,"dir_sd",0.020587,0.000536,0.000112
500,0.75,3,-0.5,-1.5,0.066807,0.075374,0.089904,0.063694,0.008566,0.023097,-0.003113,0.000179,0.000664,0.000129,0.000106,0.000131,0.000119,"dir_sd",0.023097,0.000664,0.000131
500,0.75,3,-0.5,-1.4,0.080757,0.089894,0.106413,0.077359,0.009137,0.025657,-0.003398,0.000206,0.000809,0.000156,0.000123,0.000151,0.000145,"dir_sd",0.025657,0.000809,0.000151
