"n","p1","sdC1","sdC2","rho","s","F_true","avg_F_dir","avg_F_dir_sd","avg_F_hat","bias_dir","bias_dir_sd","bias_hat","mse_dir","mse_dir_sd","mse_hat","var_dir","var_dir_sd","var_hat","estimator","bias","mse","var"
100,0.25,0.05,0.1,0.5,2,0.427593,0.428,0.54816,0.403847,0.000407,0.120567,-0.023747,0.001816,0.016664,0.003102,0.00227,0.00266,0.003173,"dir",0.000407,0.001816,0.00227
100,0.25,0.05,0.1,0.5,2.5,0.524709,0.534,0.65416,0.499631,0.009291,0.129451,-0.025078,0.00271,0.019261,0.004387,0.00328,0.003129,0.004698,"dir",0.009291,0.00271,0.00328
100,0.25,0.05,0.1,0.5,3,0.608375,0.61,0.73016,0.583146,0.001625,0.121785,-0.025229,0.001323,0.015919,0.001808,0.00165,0.001359,0.001465,"dir",0.001625,0.001323,0.00165
100,0.25,0.05,0.1,0.5,3.5,0.679238,0.67,0.79016,0.65156,-0.009238,0.110922,-0.027677,0.001725,0.013763,0.003006,0.00205,0.001824,0.0028,"dir",-0.009238,0.001725,0.00205
100,0.25,0.05,0.1,0.5,4,0.738536,0.738,0.85816,0.706715,-0.000536,0.119624,-0.031821,0.001936,0.015923,0.004943,0.00242,0.002016,0.004913,"dir",-0.000536,0.001936,0.00242
100,0.25,0.05,0.1,0.5,4.5,0.78771,0.782,0.90216,0.761943,-0.00571,0.11445,-0.025766,0.000889,0.013729,0.002494,0.00107,0.000787,0.002288,"dir",-0.00571,0.000889,0.00107
100,0.25,0.05,0.1,0.5,5,0.828203,0.828,0.94816,0.800057,-0.000203,0.119957,-0.028146,0.000136,0.014531,0.001628,0.00017,0.000176,0.001045,"dir",-0.000203,0.000136,0.00017
100,0.25,0.05,0.1,0.5,5.5,0.861361,0.872,0.982905,0.841663,0.010639,0.121544,-0.019698,0.001089,0.015013,0.001126,0.00122,3e-04,0.000923,"dir",0.010639,0.001089,0.00122
100,0.25,0.05,0.1,0.5,6,0.88839,0.9,0.998742,0.877353,0.01161,0.110352,-0.011037,0.000655,0.012184,0.001161,0.00065,8e-06,0.001299,"dir",0.01161,0.000655,0.00065
100,0.25,0.05,0.1,0.5,6.5,0.910337,0.92,1,0.895976,0.009663,0.089663,-0.014361,0.000453,0.008039,0.001181,0.00045,0,0.001219,"dir",0.009663,0.000453,0.00045
100,0.25,0.05,0.1,0.5,7,0.928102,0.934,1,0.910385,0.005898,0.071898,-0.017717,0.000179,0.005169,0.000818,0.00018,0,0.00063,"dir",0.005898,0.000179,0.00018
100,0.25,0.05,0.1,0.5,7.5,0.942442,0.944,1,0.919768,0.001558,0.057558,-0.022673,0.000106,0.003313,0.000729,0.00013,0,0.000268,"dir",0.001558,0.000106,0.00013
100,0.25,0.05,0.1,0.5,8,0.953988,0.962,1,0.9336,0.008012,0.046012,-0.020388,0.00012,0.002117,0.000594,7e-05,0,0.000223,"dir",0.008012,0.00012,7e-05
100,0.25,0.05,0.1,0.5,8.5,0.963267,0.968,1,0.940289,0.004733,0.036733,-0.022978,7.8e-05,0.001349,0.000749,7e-05,0,0.000276,"dir",0.004733,7.8e-05,7e-05
100,0.25,0.05,0.1,0.5,9,0.970709,0.976,1,0.94926,0.005291,0.029291,-0.021449,9.2e-05,0.000858,0.000686,8e-05,0,0.000283,"dir",0.005291,9.2e-05,8e-05
100,0.25,0.05,0.1,0.5,9.5,0.976669,0.976,1,0.954092,-0.000669,0.023331,-0.022576,6.4e-05,0.000544,0.000723,8e-05,0,0.000267,"dir",-0.000669,6.4e-05,8e-05
100,0.25,0.05,0.1,0.5,10,0.981434,0.98,1,0.955905,-0.001434,0.018566,-0.025529,0.000122,0.000345,0.000924,0.00015,0,0.00034,"dir",-0.001434,0.000122,0.00015
