"n","p1","maxc","rho","estimator","tau","true_q","avg_q_hat","bias_q_hat","mse_q_hat","var_q_hat"
100,0.5,0.25,0.5,"IST",0.25,0.161163,0.133376,-0.027787,0.001829,0.001059
100,0.5,0.25,0.5,"IST",0.5,0.26445,0.278024,0.013574,0.001481,0.001299
100,0.5,0.25,0.5,"IST",0.75,0.389479,0.440348,0.050869,0.004309,0.001725
100,0.5,0.5,-0.5,"Direct",0.25,0.161163,0.159722,-0.001441,0.000305,0.000303
100,0.5,0.5,-0.5,"Direct",0.5,0.26445,0.26357,-0.00088,0.000428,0.000428
100,0.5,0.5,-0.5,"Direct",0.75,0.389479,0.386052,-0.003427,0.000671,0.000661
100,0.5,0.5,-0.5,"IST",0.25,0.161163,0.143366,-0.017797,0.001299,0.000984
100,0.5,0.5,-0.5,"IST",0.5,0.26445,0.28856,0.02411,0.001644,0.001064
100,0.5,0.5,-0.5,"IST",0.75,0.389479,0.438042,0.048563,0.003433,0.001076
100,0.5,0.5,0,"Direct",0.25,0.161163,0.161102,-6.1e-05,0.000338,0.000339
100,0.5,0.5,0,"Direct",0.5,0.26445,0.262054,-0.002396,0.000449,0.000444
100,0.5,0.5,0,"Direct",0.75,0.389479,0.38504,-0.004439,0.000783,0.000764
100,0.5,0.5,0,"IST",0.25,0.161163,0.110524,-0.050639,0.00414,0.001579
100,0.5,0.5,0,"IST",0.5,0.26445,0.285052,0.020602,0.002042,0.001621
100,0.5,0.5,0,"IST",0.75,0.389479,0.468116,0.078637,0.007846,0.001666
100,0.5,0.5,0.5,"Direct",0.25,0.161163,0.160034,-0.001129,0.000316,0.000316
100,0.5,0.5,0.5,"Direct",0.5,0.26445,0.263626,-0.000824,0.000443,0.000443
100,0.5,0.5,0.5,"Direct",0.75,0.389479,0.387072,-0.002407,0.000713,0.000709
100,0.5,0.5,0.5,"IST",0.25,0.161163,0.080032,-0.081131,0.008444,0.001866
100,0.5,0.5,0.5,"IST",0.5,0.26445,0.28217,0.01772,0.002652,0.002343
100,0.5,0.5,0.5,"IST",0.75,0.389479,0.499858,0.110379,0.015035,0.002857
100,0.75,0.1,-0.5,"Direct",0.25,0.161163,0.1619,0.000737,0.000342,0.000342
100,0.75,0.1,-0.5,"Direct",0.5,0.26445,0.26477,0.00032,0.000446,0.000447
